EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-06-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, TRIER-PETRISBERG (STAID: 2760).
Blended and updated with sources: 111473 910609 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
111473,19490802,10026,    0
111473,19490803,10062,    0
111473,19490804,10186,    0
111473,19490805,10184,    0
111473,19490806,10149,    0
111473,19490807,10156,    0
111473,19490808,10135,    0
111473,19490809,10201,    0
111473,19490810,10264,    0
111473,19490811,10224,    0
111473,19490812,10296,    0
111473,19490813,10312,    0
111473,19490814,10272,    0
111473,19490815,10232,    0
111473,19490816,10186,    0
111473,19490817,10214,    0
111473,19490818,10232,    0
111473,19490819,10245,    0
111473,19490820,10217,    0
111473,19490821,10211,    0
111473,19490822,10203,    0
111473,19490823,10196,    0
111473,19490824,10204,    0
111473,19490825,10210,    0
111473,19490826,10191,    0
111473,19490827,10192,    0
111473,19490828,10211,    0
111473,19490829,10212,    0
111473,19490830,10212,    0
111473,19490831,10182,    0
111473,19490901,10132,    0
111473,19490902,10124,    0
111473,19490903,10158,    0
111473,19490904,10181,    0
111473,19490905,10182,    0
111473,19490906,10199,    0
111473,19490907,10217,    0
111473,19490908,10245,    0
111473,19490909,10238,    0
111473,19490910,10205,    0
111473,19490911,10218,    0
111473,19490912,10213,    0
111473,19490913,10138,    0
111473,19490914,10114,    0
111473,19490915,10122,    0
111473,19490916,10144,    0
111473,19490917,10189,    0
111473,19490918,10199,    0
111473,19490919,10186,    0
111473,19490920,10188,    0
111473,19490921,10158,    0
111473,19490922,10161,    0
111473,19490923,10157,    0
111473,19490924,10132,    0
111473,19490925,10192,    0
111473,19490926,10251,    0
111473,19490927,10259,    0
111473,19490928,10239,    0
111473,19490929,10212,    0
111473,19490930,10179,    0
111473,19491001,10176,    0
111473,19491002,10213,    0
111473,19491003,10265,    0
111473,19491004,10276,    0
