EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-06-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, TRIER-PETRISBERG (STAID: 2760).
Blended and updated with sources: 111471 910609 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
111471,19370101,-9999,    9
111471,19370102,-9999,    9
111471,19370103,-9999,    9
111471,19370104,-9999,    9
111471,19370105,-9999,    9
111471,19370106,-9999,    9
111471,19370107,-9999,    9
111471,19370108,-9999,    9
111471,19370109,-9999,    9
111471,19370110,-9999,    9
111471,19370111,-9999,    9
111471,19370112,-9999,    9
111471,19370113,-9999,    9
111471,19370114,-9999,    9
111471,19370115,-9999,    9
111471,19370116,-9999,    9
111471,19370117,-9999,    9
111471,19370118,-9999,    9
111471,19370119,-9999,    9
111471,19370120,-9999,    9
111471,19370121,-9999,    9
111471,19370122,-9999,    9
111471,19370123,-9999,    9
111471,19370124,-9999,    9
111471,19370125,-9999,    9
111471,19370126,-9999,    9
111471,19370127,-9999,    9
111471,19370128,-9999,    9
111471,19370129,-9999,    9
111471,19370130,-9999,    9
111471,19370131,-9999,    9
111471,19370201,-9999,    9
111471,19370202,-9999,    9
111471,19370203,-9999,    9
111471,19370204,-9999,    9
111471,19370205,-9999,    9
111471,19370206,-9999,    9
111471,19370207,-9999,    9
111471,19370208,-9999,    9
111471,19370209,-9999,    9
111471,19370210,-9999,    9
111471,19370211,-9999,    9
111471,19370212,-9999,    9
111471,19370213,-9999,    9
111471,19370214,-9999,    9
111471,19370215,-9999,    9
111471,19370216,-9999,    9
111471,19370217,-9999,    9
111471,19370218,-9999,    9
111471,19370219,-9999,    9
111471,19370220,-9999,    9
111471,19370221,-9999,    9
111471,19370222,-9999,    9
111471,19370223,-9999,    9
111471,19370224,-9999,    9
111471,19370225,-9999,    9
111471,19370226,-9999,    9
111471,19370227,-9999,    9
111471,19370228,-9999,    9
111471,19370301,-9999,    9
111471,19370302,-9999,    9
111471,19370303,-9999,    9
111471,19370304,-9999,    9
111471,19370305,-9999,    9
111471,19370306,-9999,    9
111471,19370307,-9999,    9
111471,19370308,-9999,    9
111471,19370309,-9999,    9
111471,19370310,-9999,    9
111471,19370311,-9999,    9
111471,19370312,-9999,    9
111471,19370313,-9999,    9
111471,19370314,-9999,    9
111471,19370315,-9999,    9
111471,19370316,-9999,    9
111471,19370317,-9999,    9
111471,19370318,-9999,    9
111471,19370319,-9999,    9
111471,19370320,-9999,    9
111471,19370321,-9999,    9
111471,19370322,-9999,    9
111471,19370323,-9999,    9
111471,19370324,-9999,    9
111471,19370325,-9999,    9
111471,19370326,-9999,    9
111471,19370327,-9999,    9
111471,19370328,-9999,    9
111471,19370329,-9999,    9
111471,19370330,-9999,    9
111471,19370331,-9999,    9
111471,19370401,-9999,    9
111471,19370402,-9999,    9
111471,19370403,-9999,    9
111471,19370404,-9999,    9
111471,19370405,-9999,    9
111471,19370406,-9999,    9
111471,19370407,-9999,    9
111471,19370408,-9999,    9
111471,19370409,-9999,    9
111471,19370410,-9999,    9
111471,19370411,-9999,    9
111471,19370412,-9999,    9
111471,19370413,-9999,    9
111471,19370414,-9999,    9
111471,19370415,-9999,    9
111471,19370416,-9999,    9
111471,19370417,-9999,    9
111471,19370418,-9999,    9
111471,19370419,-9999,    9
111471,19370420,-9999,    9
111471,19370421,-9999,    9
111471,19370422,-9999,    9
111471,19370423,-9999,    9
111471,19370424,-9999,    9
111471,19370425,-9999,    9
111471,19370426,-9999,    9
111471,19370427,-9999,    9
111471,19370428,-9999,    9
111471,19370429,-9999,    9
111471,19370430,-9999,    9
111471,19370501,-9999,    9
111471,19370502,-9999,    9
111471,19370503,-9999,    9
111471,19370504,-9999,    9
111471,19370505,-9999,    9
111471,19370506,-9999,    9
111471,19370507,-9999,    9
111471,19370508,-9999,    9
111471,19370509,-9999,    9
111471,19370510,-9999,    9
111471,19370511,-9999,    9
111471,19370512,-9999,    9
111471,19370513,-9999,    9
111471,19370514,-9999,    9
111471,19370515,-9999,    9
111471,19370516,-9999,    9
111471,19370517,-9999,    9
111471,19370518,-9999,    9
111471,19370519,-9999,    9
111471,19370520,-9999,    9
111471,19370521,-9999,    9
111471,19370522,-9999,    9
111471,19370523,-9999,    9
111471,19370524,-9999,    9
111471,19370525,-9999,    9
111471,19370526,-9999,    9
111471,19370527,-9999,    9
111471,19370528,-9999,    9
111471,19370529,-9999,    9
111471,19370530,-9999,    9
111471,19370531,-9999,    9
111471,19370601,-9999,    9
111471,19370602,-9999,    9
111471,19370603,-9999,    9
111471,19370604,-9999,    9
111471,19370605,-9999,    9
111471,19370606,-9999,    9
111471,19370607,-9999,    9
111471,19370608,-9999,    9
111471,19370609,-9999,    9
111471,19370610,-9999,    9
111471,19370611,-9999,    9
111471,19370612,-9999,    9
111471,19370613,-9999,    9
111471,19370614,-9999,    9
111471,19370615,-9999,    9
111471,19370616,-9999,    9
111471,19370617,-9999,    9
111471,19370618,-9999,    9
111471,19370619,-9999,    9
111471,19370620,-9999,    9
111471,19370621,-9999,    9
111471,19370622,-9999,    9
111471,19370623,-9999,    9
111471,19370624,-9999,    9
111471,19370625,-9999,    9
111471,19370626,-9999,    9
111471,19370627,-9999,    9
111471,19370628,-9999,    9
111471,19370629,-9999,    9
111471,19370630,-9999,    9
111471,19370701,-9999,    9
111471,19370702,-9999,    9
111471,19370703,-9999,    9
111471,19370704,-9999,    9
111471,19370705,-9999,    9
111471,19370706,-9999,    9
111471,19370707,-9999,    9
111471,19370708,-9999,    9
111471,19370709,-9999,    9
111471,19370710,-9999,    9
111471,19370711,-9999,    9
111471,19370712,-9999,    9
111471,19370713,-9999,    9
111471,19370714,-9999,    9
111471,19370715,-9999,    9
111471,19370716,-9999,    9
111471,19370717,-9999,    9
111471,19370718,-9999,    9
111471,19370719,-9999,    9
111471,19370720,-9999,    9
111471,19370721,-9999,    9
111471,19370722,-9999,    9
111471,19370723,-9999,    9
111471,19370724,-9999,    9
111471,19370725,-9999,    9
111471,19370726,-9999,    9
111471,19370727,-9999,    9
111471,19370728,-9999,    9
111471,19370729,-9999,    9
111471,19370730,-9999,    9
111471,19370731,-9999,    9
111471,19370801,-9999,    9
111471,19370802,-9999,    9
111471,19370803,-9999,    9
111471,19370804,-9999,    9
111471,19370805,-9999,    9
111471,19370806,-9999,    9
111471,19370807,-9999,    9
111471,19370808,-9999,    9
111471,19370809,-9999,    9
111471,19370810,-9999,    9
111471,19370811,-9999,    9
111471,19370812,-9999,    9
111471,19370813,-9999,    9
111471,19370814,-9999,    9
111471,19370815,-9999,    9
111471,19370816,-9999,    9
111471,19370817,-9999,    9
111471,19370818,-9999,    9
111471,19370819,-9999,    9
111471,19370820,-9999,    9
111471,19370821,-9999,    9
111471,19370822,-9999,    9
111471,19370823,-9999,    9
111471,19370824,-9999,    9
111471,19370825,-9999,    9
111471,19370826,-9999,    9
111471,19370827,-9999,    9
111471,19370828,-9999,    9
111471,19370829,-9999,    9
111471,19370830,-9999,    9
111471,19370831,-9999,    9
111471,19370901,-9999,    9
111471,19370902,-9999,    9
111471,19370903,-9999,    9
111471,19370904,-9999,    9
111471,19370905,-9999,    9
111471,19370906,-9999,    9
111471,19370907,-9999,    9
111471,19370908,-9999,    9
111471,19370909,-9999,    9
111471,19370910,-9999,    9
111471,19370911,-9999,    9
111471,19370912,-9999,    9
111471,19370913,-9999,    9
111471,19370914,-9999,    9
111471,19370915,-9999,    9
111471,19370916,-9999,    9
111471,19370917,-9999,    9
111471,19370918,-9999,    9
111471,19370919,-9999,    9
